Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
2021-01-01 00:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 01:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 02:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 03:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 04:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 05:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 06:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 07:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 08:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 09:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 10:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-01 11:00:00,New Year 2021,Friday,134,119,15,2440.698027494411
2021-01-01 12:00:00,New Year 2021,Friday,107,21,86,2556.4116700218156
2021-01-01 13:00:00,New Year 2021,Friday,206,185,21,1807.3642841265641
2021-01-01 14:00:00,New Year 2021,Friday,235,59,176,1916.9868947957898
2021-01-01 15:00:00,New Year 2021,Friday,234,49,185,2218.9321108118033
2021-01-01 16:00:00,New Year 2021,Friday,37,2,35,638.0345995889817
2021-01-01 17:00:00,New Year 2021,Friday,201,201,0,4129.670260645492
2021-01-01 18:00:00,New Year 2021,Friday,155,140,15,2032.6605456048123
2021-01-01 19:00:00,New Year 2021,Friday,237,218,19,2770.7676499984755
2021-01-01 20:00:00,New Year 2021,Friday,246,128,118,4662.497238162588
2021-01-01 21:00:00,New Year 2021,Friday,147,79,68,2320.349645492838
2021-01-01 22:00:00,New Year 2021,Friday,19,14,5,348.0321313121935
2021-01-01 23:00:00,New Year 2021,Friday,0,0,0,0.0
2021-01-02 00:00:00,,Saturday,0,0,0,0.0
2021-01-02 01:00:00,,Saturday,0,0,0,0.0
2021-01-02 02:00:00,,Saturday,0,0,0,0.0
2021-01-02 03:00:00,,Saturday,0,0,0,0.0
2021-01-02 04:00:00,,Saturday,0,0,0,0.0
2021-01-02 05:00:00,,Saturday,0,0,0,0.0
2021-01-02 06:00:00,,Saturday,0,0,0,0.0
2021-01-02 07:00:00,,Saturday,0,0,0,0.0
2021-01-02 08:00:00,,Saturday,0,0,0,0.0
2021-01-02 09:00:00,,Saturday,0,0,0,0.0
2021-01-02 10:00:00,,Saturday,0,0,0,0.0
2021-01-02 11:00:00,,Saturday,47,47,0,780.4924580726899
2021-01-02 12:00:00,,Saturday,167,43,124,3774.312115099749
2021-01-02 13:00:00,,Saturday,224,2,222,5214.822460929712
2021-01-02 14:00:00,,Saturday,243,36,207,5189.918286118246
2021-01-02 15:00:00,,Saturday,183,11,172,3913.3619709214568
2021-01-02 16:00:00,,Saturday,15,1,14,351.24730076485537
2021-01-02 17:00:00,,Saturday,101,2,99,1168.8731380379393
2021-01-02 18:00:00,,Saturday,1,0,1,17.260780460443208
2021-01-02 19:00:00,,Saturday,176,111,65,2190.302210819555
2021-01-02 20:00:00,,Saturday,248,7,241,5797.685842918838
2021-01-02 21:00:00,,Saturday,130,47,83,2546.1171607339893
2021-01-02 22:00:00,,Saturday,46,0,46,829.4717067436832
2021-01-02 23:00:00,,Saturday,0,0,0,0.0
2021-01-03 00:00:00,,Sunday,0,0,0,0.0
2021-01-03 01:00:00,,Sunday,0,0,0,0.0
2021-01-03 02:00:00,,Sunday,0,0,0,0.0
2021-01-03 03:00:00,,Sunday,0,0,0,0.0
2021-01-03 04:00:00,,Sunday,0,0,0,0.0
2021-01-03 05:00:00,,Sunday,0,0,0,0.0
2021-01-03 06:00:00,,Sunday,0,0,0,0.0
2021-01-03 07:00:00,,Sunday,0,0,0,0.0
2021-01-03 08:00:00,,Sunday,0,0,0,0.0
2021-01-03 09:00:00,,Sunday,0,0,0,0.0
2021-01-03 10:00:00,,Sunday,0,0,0,0.0
2021-01-03 11:00:00,,Sunday,183,88,95,2901.5139127091966
2021-01-03 12:00:00,,Sunday,245,142,103,5106.277761848638
2021-01-03 13:00:00,,Sunday,17,12,5,291.8929804370472
2021-01-03 14:00:00,,Sunday,176,174,2,2859.470798847321
2021-01-03 15:00:00,,Sunday,187,4,183,3322.0149763633103
2021-01-03 16:00:00,,Sunday,15,13,2,108.73708665764273
2021-01-03 17:00:00,,Sunday,73,52,21,863.9476514672186
2021-01-03 18:00:00,,Sunday,235,106,129,3025.647968682076
2021-01-03 19:00:00,,Sunday,94,82,12,1275.5519885260262
2021-01-03 20:00:00,,Sunday,138,105,33,1716.4541793619808
2021-01-03 21:00:00,,Sunday,210,164,46,2759.708061762511
2021-01-03 22:00:00,,Sunday,98,88,10,1824.4073224638132
2021-01-03 23:00:00,,Sunday,0,0,0,0.0
2021-01-04 00:00:00,,Monday,0,0,0,0.0
2021-01-04 01:00:00,,Monday,0,0,0,0.0
2021-01-04 02:00:00,,Monday,0,0,0,0.0
2021-01-04 03:00:00,,Monday,0,0,0,0.0
2021-01-04 04:00:00,,Monday,0,0,0,0.0
2021-01-04 05:00:00,,Monday,0,0,0,0.0
2021-01-04 06:00:00,,Monday,0,0,0,0.0
2021-01-04 07:00:00,,Monday,0,0,0,0.0
2021-01-04 08:00:00,,Monday,0,0,0,0.0
2021-01-04 09:00:00,,Monday,0,0,0,0.0
2021-01-04 10:00:00,,Monday,0,0,0,0.0
2021-01-04 11:00:00,,Monday,215,174,41,5269.190240493273
2021-01-04 12:00:00,,Monday,234,47,187,4131.916791602068
2021-01-04 13:00:00,,Monday,197,35,162,1783.023832281802
2021-01-04 14:00:00,,Monday,81,72,9,691.0876957099223
2021-01-04 15:00:00,,Monday,26,20,6,592.7529710514843
2021-01-04 16:00:00,,Monday,118,113,5,1404.8247093398438
2021-01-04 17:00:00,,Monday,149,52,97,2702.741407595515
2021-01-04 18:00:00,,Monday,239,74,165,2052.8857800004835
2021-01-04 19:00:00,,Monday,29,15,14,568.0325739942965
2021-01-04 20:00:00,,Monday,162,37,125,3517.3557166871433
2021-01-04 21:00:00,,Monday,55,20,35,750.8936495773651
2021-01-04 22:00:00,,Monday,104,11,93,1902.4068569559943
2021-01-04 23:00:00,,Monday,0,0,0,0.0
2021-01-05 00:00:00,,Tuesday,0,0,0,0.0
