Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
2018-01-01 11:00:00,New Year 2018,Monday,195,10,185,2790.2998187540406
2018-01-01 12:00:00,New Year 2018,Monday,179,36,143,2263.058122242513
2018-01-01 13:00:00,New Year 2018,Monday,180,56,124,2453.717060016333
2018-01-01 14:00:00,New Year 2018,Monday,198,156,42,4073.914213762002
2018-01-01 15:00:00,New Year 2018,Monday,172,24,148,4151.692190459864
2018-01-01 16:00:00,New Year 2018,Monday,60,1,59,1444.5989560153782
2018-01-01 17:00:00,New Year 2018,Monday,184,120,64,3776.414065001548
2018-01-01 18:00:00,New Year 2018,Monday,173,137,36,3410.787847461607
2018-01-01 19:00:00,New Year 2018,Monday,198,20,178,2085.69751670736
2018-01-01 20:00:00,New Year 2018,Monday,193,79,114,2293.4588515017595
2018-01-01 21:00:00,New Year 2018,Monday,179,145,34,2862.7569382813986
2018-01-01 22:00:00,New Year 2018,Monday,61,28,33,962.4342661608366
2018-01-02 11:00:00,,Tuesday,209,63,146,3831.0329749499942
2018-01-02 12:00:00,,Tuesday,206,68,138,3687.0909651137245
2018-01-02 13:00:00,,Tuesday,190,163,27,4983.83911037223
2018-01-02 14:00:00,,Tuesday,184,2,182,1524.1485543938543
2018-01-02 15:00:00,,Tuesday,73,57,16,1902.4079575236656
2018-01-02 16:00:00,,Tuesday,46,31,15,757.5930120735063
2018-01-02 17:00:00,,Tuesday,186,182,4,1735.981509738666
2018-01-02 18:00:00,,Tuesday,183,20,163,3618.5566691038016
2018-01-02 19:00:00,,Tuesday,174,68,106,4406.244507095054
2018-01-02 20:00:00,,Tuesday,175,121,54,1789.0097733028226
2018-01-02 21:00:00,,Tuesday,64,5,59,1709.7361090976933
2018-01-02 22:00:00,,Tuesday,67,3,64,1065.7882661270116
2018-01-03 11:00:00,,Wednesday,153,141,12,2999.873475636915
2018-01-03 12:00:00,,Wednesday,202,95,107,4795.755320169378
2018-01-03 13:00:00,,Wednesday,163,90,73,3430.239252385096
2018-01-03 14:00:00,,Wednesday,199,135,64,1722.440207472293
2018-01-03 15:00:00,,Wednesday,56,34,22,776.6526594682175
2018-01-03 16:00:00,,Wednesday,63,34,29,636.2217955135156
2018-01-03 17:00:00,,Wednesday,181,13,168,3653.823693383775
2018-01-03 18:00:00,,Wednesday,185,174,11,4272.6575756072625
2018-01-03 19:00:00,,Wednesday,172,117,55,2114.519324407121
2018-01-03 20:00:00,,Wednesday,194,114,80,3854.931196355939
2018-01-03 21:00:00,,Wednesday,59,2,57,1046.9508826481585
2018-01-03 22:00:00,,Wednesday,62,58,4,1160.0742283440247
2018-01-04 11:00:00,,Thursday,174,106,68,3786.2384559490956
2018-01-04 12:00:00,,Thursday,189,64,125,2985.601384631501
2018-01-04 13:00:00,,Thursday,179,36,143,2896.6668577378223
2018-01-04 14:00:00,,Thursday,172,38,134,4464.86609525072
2018-01-04 15:00:00,,Thursday,69,11,58,1179.8851134685094
2018-01-04 16:00:00,,Thursday,58,38,20,1075.3339526372306
2018-01-04 17:00:00,,Thursday,205,27,178,4973.7309305583
2018-01-04 18:00:00,,Thursday,201,78,123,2068.43889152601
2018-01-04 19:00:00,,Thursday,185,91,94,2775.038889215923
2018-01-04 20:00:00,,Thursday,180,139,41,2686.289147331285
2018-01-04 21:00:00,,Thursday,65,65,0,822.5140061686236
2018-01-04 22:00:00,,Thursday,63,7,56,523.117764639177
2018-01-05 11:00:00,,Friday,193,116,77,2124.1344860295667
2018-01-05 12:00:00,,Friday,189,94,95,3280.7264354263057
