Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
2018-01-01 10:00:00,New Year 2018,Monday,59,22,37,1207.347750855207
2018-01-01 11:00:00,New Year 2018,Monday,200,0,200,5123.274785368597
2018-01-01 12:00:00,New Year 2018,Monday,213,134,79,2833.871668610725
2018-01-01 13:00:00,New Year 2018,Monday,172,138,34,3769.020735470127
2018-01-01 14:00:00,New Year 2018,Monday,184,173,11,3770.7599642361674
2018-01-01 15:00:00,New Year 2018,Monday,183,157,26,3308.8553927441067
2018-01-01 16:00:00,New Year 2018,Monday,56,2,54,1138.103764414962
2018-01-01 17:00:00,New Year 2018,Monday,178,80,98,2514.775522176819
2018-01-01 18:00:00,New Year 2018,Monday,185,30,155,1711.3298328691403
2018-01-01 19:00:00,New Year 2018,Monday,191,17,174,3719.3049917317967
2018-01-01 20:00:00,New Year 2018,Monday,190,146,44,3609.3470721609874
2018-01-01 21:00:00,New Year 2018,Monday,189,60,129,1904.071990860009
2018-01-02 10:00:00,,Tuesday,63,32,31,1546.9504141233294
2018-01-02 11:00:00,,Tuesday,191,46,145,3112.761865724338
2018-01-02 12:00:00,,Tuesday,176,63,113,4420.909967258774
2018-01-02 13:00:00,,Tuesday,192,184,8,3118.8234350355456
2018-01-02 14:00:00,,Tuesday,204,180,24,3235.7977158479903
2018-01-02 15:00:00,,Tuesday,67,52,15,928.8091186331608
2018-01-02 16:00:00,,Tuesday,71,68,3,1358.216737171551
2018-01-02 17:00:00,,Tuesday,198,57,141,2449.2881275195423
2018-01-02 18:00:00,,Tuesday,207,50,157,3637.4742862263
2018-01-02 19:00:00,,Tuesday,182,164,18,3210.4862024589374
2018-01-02 20:00:00,,Tuesday,194,180,14,1882.650214294715
2018-01-02 21:00:00,,Tuesday,59,21,38,598.5371181558774
2018-01-03 10:00:00,,Wednesday,70,3,67,842.1362872854394
2018-01-03 11:00:00,,Wednesday,200,136,64,2360.6360885744552
2018-01-03 12:00:00,,Wednesday,191,36,155,2281.3780895584678
2018-01-03 13:00:00,,Wednesday,171,96,75,1362.8406546072597
2018-01-03 14:00:00,,Wednesday,202,188,14,3172.5011401044612
2018-01-03 15:00:00,,Wednesday,79,56,23,1322.0571008730124
2018-01-03 16:00:00,,Wednesday,60,3,57,599.9964952685492
2018-01-03 17:00:00,,Wednesday,189,6,183,1481.3905807273243
2018-01-03 18:00:00,,Wednesday,201,147,54,2213.180984678142
2018-01-03 19:00:00,,Wednesday,193,10,183,4516.558408742318
2018-01-03 20:00:00,,Wednesday,198,162,36,3960.1365145156333
2018-01-03 21:00:00,,Wednesday,60,47,13,1322.992470028286
2018-01-04 10:00:00,,Thursday,62,30,32,1068.058687175612
2018-01-04 11:00:00,,Thursday,193,125,68,3601.801910357663
2018-01-04 12:00:00,,Thursday,169,88,81,1264.5496671351261
2018-01-04 13:00:00,,Thursday,167,135,32,4442.541239497294
2018-01-04 14:00:00,,Thursday,199,12,187,3329.798698749876
2018-01-04 15:00:00,,Thursday,53,42,11,1408.5888226729282
2018-01-04 16:00:00,,Thursday,54,46,8,1423.927496488251
2018-01-04 17:00:00,,Thursday,195,10,185,2678.367456333387
2018-01-04 18:00:00,,Thursday,192,100,92,2142.190431565558
2018-01-04 19:00:00,,Thursday,199,141,58,4906.334279436511
2018-01-04 20:00:00,,Thursday,179,25,154,1320.8902324899827
2018-01-04 21:00:00,,Thursday,70,5,65,1087.990275860221
2018-01-05 10:00:00,,Friday,55,3,52,509.4491911671885
2018-01-05 11:00:00,,Friday,210,170,40,5091.564482775955
2018-01-05 12:00:00,,Friday,165,111,54,2658.670159181689
2018-01-05 13:00:00,,Friday,178,167,11,4097.2656692157325
2018-01-05 14:00:00,,Friday,180,94,86,2952.6196606602566
2018-01-05 15:00:00,,Friday,57,46,11,598.353174563106
2018-01-05 16:00:00,,Friday,70,1,69,1726.113106334082
2018-01-05 17:00:00,,Friday,174,89,85,2273.695034763044
2018-01-05 18:00:00,,Friday,189,47,142,2795.3036294940307
2018-01-05 19:00:00,,Friday,184,103,81,1381.8385450879564
2018-01-05 20:00:00,,Friday,193,127,66,2512.0416922482036
2018-01-05 21:00:00,,Friday,53,8,45,551.8775852702604
2018-01-06 10:00:00,,Saturday,50,14,36,1095.0258012231056
2018-01-06 11:00:00,,Saturday,187,131,56,2115.432047926878
2018-01-06 12:00:00,,Saturday,182,73,109,1446.391093874072
2018-01-06 13:00:00,,Saturday,193,48,145,4412.635416881282
2018-01-06 14:00:00,,Saturday,183,163,20,2162.604977824956
2018-01-06 15:00:00,,Saturday,195,181,14,2860.881267011827
2018-01-06 16:00:00,,Saturday,62,38,24,1109.8659312423667
2018-01-06 17:00:00,,Saturday,169,32,137,3696.7525831319513
2018-01-06 18:00:00,,Saturday,216,203,13,2972.817826906434
2018-01-06 19:00:00,,Saturday,176,55,121,3514.7956319995014
