Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
2021-01-01 11:00:00,New Year 2021,Friday,212,163,49,2299.932059090795
2021-01-01 12:00:00,New Year 2021,Friday,57,25,32,782.0697291217556
2021-01-01 13:00:00,New Year 2021,Friday,210,90,120,2133.456933430664
2021-01-01 14:00:00,New Year 2021,Friday,240,5,235,5858.0848585870535
2021-01-01 15:00:00,New Year 2021,Friday,171,70,101,3813.630616629699
2021-01-01 16:00:00,New Year 2021,Friday,73,66,7,1848.3688440658946
2021-01-01 17:00:00,New Year 2021,Friday,129,114,15,2811.1551295578365
2021-01-01 18:00:00,New Year 2021,Friday,220,198,22,5500.888483764405
2021-01-01 19:00:00,New Year 2021,Friday,231,127,104,5484.028439708605
2021-01-01 20:00:00,New Year 2021,Friday,245,137,108,1965.865917673823
2021-01-01 21:00:00,New Year 2021,Friday,182,93,89,2122.920286955851
2021-01-01 22:00:00,New Year 2021,Friday,95,2,93,1975.1979779334322
2021-01-02 11:00:00,,Saturday,135,42,93,2495.174324552578
2021-01-02 12:00:00,,Saturday,212,47,165,5671.691505814598
2021-01-02 13:00:00,,Saturday,200,8,192,4054.1432885584472
2021-01-02 14:00:00,,Saturday,245,115,130,4822.632458797816
2021-01-02 15:00:00,,Saturday,200,164,36,4667.153447135918
2021-01-02 16:00:00,,Saturday,21,10,11,527.6684885110312
2021-01-02 17:00:00,,Saturday,139,58,81,1265.572008652733
2021-01-02 18:00:00,,Saturday,67,29,38,988.9735199558216
2021-01-02 19:00:00,,Saturday,114,64,50,1047.9530707526333
2021-01-02 20:00:00,,Saturday,42,21,21,417.1825618681217
2021-01-02 21:00:00,,Saturday,119,7,112,1130.905079234365
2021-01-02 22:00:00,,Saturday,40,33,7,780.8127811393342
2021-01-03 11:00:00,,Sunday,74,58,16,1161.8915255189938
2021-01-03 12:00:00,,Sunday,236,158,78,4624.683408222036
2021-01-03 13:00:00,,Sunday,201,197,4,4729.7533378512135
2021-01-03 14:00:00,,Sunday,206,183,23,3343.4088471719124
2021-01-03 15:00:00,,Sunday,190,28,162,3373.669744963191
2021-01-03 16:00:00,,Sunday,43,17,26,615.2274357322135
2021-01-03 17:00:00,,Sunday,240,182,58,2991.7533258859644
2021-01-03 18:00:00,,Sunday,106,73,33,1377.98236149753
2021-01-03 19:00:00,,Sunday,236,90,146,3160.336763747675
2021-01-03 20:00:00,,Sunday,243,104,139,6418.416567389501
2021-01-03 21:00:00,,Sunday,136,26,110,1360.81648276312
2021-01-03 22:00:00,,Sunday,21,14,7,493.63600663677414
2021-01-04 11:00:00,,Monday,128,61,67,990.8491494048935
2021-01-04 12:00:00,,Monday,187,7,180,4455.99777416377
