Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
1/1/2021 0:00,New Year 2021,Friday,0,0,0,0
1/1/2021 1:00,New Year 2021,Friday,0,0,0,0
1/1/2021 2:00,New Year 2021,Friday,0,0,0,0
1/1/2021 3:00,New Year 2021,Friday,0,0,0,0
1/1/2021 4:00,New Year 2021,Friday,0,0,0,0
1/1/2021 5:00,New Year 2021,Friday,0,0,0,0
1/1/2021 6:00,New Year 2021,Friday,0,0,0,0
1/1/2021 7:00,New Year 2021,Friday,0,0,0,0
1/1/2021 8:00,New Year 2021,Friday,0,0,0,0
1/1/2021 9:00,New Year 2021,Friday,0,0,0,0
1/1/2021 10:00,New Year 2021,Friday,0,0,0,0
1/1/2021 11:00,New Year 2021,Friday,110,9,101,2925.803257
1/1/2021 12:00,New Year 2021,Friday,144,10,134,3568.91935
1/1/2021 13:00,New Year 2021,Friday,155,118,37,3440.370276
1/1/2021 14:00,New Year 2021,Friday,210,71,139,4503.19456
1/1/2021 15:00,New Year 2021,Friday,179,95,84,2976.660595
1/1/2021 16:00,New Year 2021,Friday,67,36,31,597.2082707
1/1/2021 17:00,New Year 2021,Friday,177,69,108,2357.572557
1/1/2021 18:00,New Year 2021,Friday,242,218,24,5754.087844
1/1/2021 19:00,New Year 2021,Friday,212,119,93,4926.012819
1/1/2021 20:00,New Year 2021,Friday,218,100,118,3665.306806
1/1/2021 21:00,New Year 2021,Friday,205,193,12,5168.915501
1/1/2021 22:00,New Year 2021,Friday,43,28,15,815.4168096
1/1/2021 23:00,New Year 2021,Friday,0,0,0,0
2/1/2021 0:00,,Saturday,0,0,0,0
2/1/2021 1:00,,Saturday,0,0,0,0
2/1/2021 2:00,,Saturday,0,0,0,0
2/1/2021 3:00,,Saturday,0,0,0,0
2/1/2021 4:00,,Saturday,0,0,0,0
2/1/2021 5:00,,Saturday,0,0,0,0
2/1/2021 6:00,,Saturday,0,0,0,0
2/1/2021 7:00,,Saturday,0,0,0,0
2/1/2021 8:00,,Saturday,0,0,0,0
2/1/2021 9:00,,Saturday,0,0,0,0
2/1/2021 10:00,,Saturday,0,0,0,0
2/1/2021 11:00,,Saturday,197,30,167,1785.0158
2/1/2021 12:00,,Saturday,158,106,52,2718.22587
2/1/2021 13:00,,Saturday,219,184,35,3475.470962
2/1/2021 14:00,,Saturday,231,134,97,4988.687534
2/1/2021 15:00,,Saturday,144,23,121,2161.868015
2/1/2021 16:00,,Saturday,47,2,45,1224.488173
2/1/2021 17:00,,Saturday,153,124,29,3112.39367
2/1/2021 18:00,,Saturday,197,89,108,1451.892874
2/1/2021 19:00,,Saturday,221,181,40,3910.469396
2/1/2021 20:00,,Saturday,162,162,0,3570.918572
2/1/2021 21:00,,Saturday,210,78,132,2959.751454
2/1/2021 22:00,,Saturday,5,4,1,117.6920228
2/1/2021 23:00,,Saturday,0,0,0,0
3/1/2021 0:00,,Sunday,0,0,0,0
3/1/2021 1:00,,Sunday,0,0,0,0
3/1/2021 2:00,,Sunday,0,0,0,0
3/1/2021 3:00,,Sunday,0,0,0,0
3/1/2021 4:00,,Sunday,0,0,0,0
3/1/2021 5:00,,Sunday,0,0,0,0
3/1/2021 6:00,,Sunday,0,0,0,0
3/1/2021 7:00,,Sunday,0,0,0,0
3/1/2021 8:00,,Sunday,0,0,0,0
3/1/2021 9:00,,Sunday,0,0,0,0
3/1/2021 10:00,,Sunday,0,0,0,0
3/1/2021 11:00,,Sunday,210,164,46,3708.591539
3/1/2021 12:00,,Sunday,153,54,99,3577.785051
3/1/2021 13:00,,Sunday,158,57,101,2990.821094
3/1/2021 14:00,,Sunday,135,49,86,1182.334455
3/1/2021 15:00,,Sunday,150,3,147,2738.129615
3/1/2021 16:00,,Sunday,20,6,14,469.09468
3/1/2021 17:00,,Sunday,170,51,119,1872.686171
3/1/2021 18:00,,Sunday,250,45,205,5236.972017
3/1/2021 19:00,,Sunday,221,2,219,4518.422112
3/1/2021 20:00,,Sunday,198,168,30,4475.726311
3/1/2021 21:00,,Sunday,130,68,62,2855.674014
3/1/2021 22:00,,Sunday,89,10,79,982.1745448
3/1/2021 23:00,,Sunday,0,0,0,0
4/1/2021 0:00,,Monday,0,0,0,0
4/1/2021 1:00,,Monday,0,0,0,0
4/1/2021 2:00,,Monday,0,0,0,0
4/1/2021 3:00,,Monday,0,0,0,0
4/1/2021 4:00,,Monday,0,0,0,0
4/1/2021 5:00,,Monday,0,0,0,0
4/1/2021 6:00,,Monday,0,0,0,0
4/1/2021 7:00,,Monday,0,0,0,0
4/1/2021 8:00,,Monday,0,0,0,0
4/1/2021 9:00,,Monday,0,0,0,0
4/1/2021 10:00,,Monday,0,0,0,0
4/1/2021 11:00,,Monday,241,118,123,4958.097846
4/1/2021 12:00,,Monday,221,168,53,5142.594063
4/1/2021 13:00,,Monday,148,86,62,3956.64481
4/1/2021 14:00,,Monday,211,154,57,4201.758527
4/1/2021 15:00,,Monday,58,50,8,1330.13933
4/1/2021 16:00,,Monday,71,10,61,1829.772057
4/1/2021 17:00,,Monday,169,84,85,2514.840192
4/1/2021 18:00,,Monday,148,139,9,1036.888139
4/1/2021 19:00,,Monday,141,6,135,2767.930007
4/1/2021 20:00,,Monday,167,2,165,3657.210537
4/1/2021 21:00,,Monday,63,8,55,1664.773361
4/1/2021 22:00,,Monday,34,8,26,455.0467845
4/1/2021 23:00,,Monday,0,0,0,0
5/1/2021 0:00,,Tuesday,0,0,0,0
5/1/2021 1:00,,Tuesday,0,0,0,0
5/1/2021 2:00,,Tuesday,0,0,0,0
5/1/2021 3:00,,Tuesday,0,0,0,0
5/1/2021 4:00,,Tuesday,0,0,0,0
5/1/2021 5:00,,Tuesday,0,0,0,0
5/1/2021 6:00,,Tuesday,0,0,0,0
5/1/2021 7:00,,Tuesday,0,0,0,0
5/1/2021 8:00,,Tuesday,0,0,0,0
5/1/2021 9:00,,Tuesday,0,0,0,0
5/1/2021 10:00,,Tuesday,0,0,0,0
5/1/2021 11:00,,Tuesday,147,43,104,1726.442135
5/1/2021 12:00,,Tuesday,167,18,149,3993.734823
5/1/2021 13:00,,Tuesday,124,50,74,1037.149569
5/1/2021 14:00,,Tuesday,193,39,154,3203.948178
5/1/2021 15:00,,Tuesday,117,91,26,980.4062496
5/1/2021 16:00,,Tuesday,68,20,48,590.0784279
5/1/2021 17:00,,Tuesday,178,7,171,4060.069719
5/1/2021 18:00,,Tuesday,176,74,102,2744.428464
5/1/2021 19:00,,Tuesday,230,209,21,3535.42119
5/1/2021 20:00,,Tuesday,159,102,57,2049.600739
5/1/2021 21:00,,Tuesday,78,34,44,1965.40684
5/1/2021 22:00,,Tuesday,65,28,37,791.4262295
5/1/2021 23:00,,Tuesday,0,0,0,0
6/1/2021 0:00,,Wednesday,0,0,0,0
6/1/2021 1:00,,Wednesday,0,0,0,0
6/1/2021 2:00,,Wednesday,0,0,0,0
6/1/2021 3:00,,Wednesday,0,0,0,0
6/1/2021 4:00,,Wednesday,0,0,0,0
6/1/2021 5:00,,Wednesday,0,0,0,0
6/1/2021 6:00,,Wednesday,0,0,0,0
6/1/2021 7:00,,Wednesday,0,0,0,0
6/1/2021 8:00,,Wednesday,0,0,0,0
6/1/2021 9:00,,Wednesday,0,0,0,0
6/1/2021 10:00,,Wednesday,0,0,0,0
6/1/2021 11:00,,Wednesday,178,101,77,3470.510625
6/1/2021 12:00,,Wednesday,250,98,152,6432.162386
6/1/2021 13:00,,Wednesday,166,40,126,2282.772666
6/1/2021 14:00,,Wednesday,187,17,170,2940.22177
6/1/2021 15:00,,Wednesday,0,0,0,0
6/1/2021 16:00,,Wednesday,98,63,35,2022.827526
6/1/2021 17:00,,Wednesday,192,119,73,4307.714691
6/1/2021 18:00,,Wednesday,231,79,152,1712.446642
6/1/2021 19:00,,Wednesday,145,65,80,3189.188717
6/1/2021 20:00,,Wednesday,214,150,64,5731.161607
6/1/2021 21:00,,Wednesday,90,17,73,2259.231533
6/1/2021 22:00,,Wednesday,72,49,23,771.4845663
6/1/2021 23:00,,Wednesday,0,0,0,0
7/1/2021 0:00,,Thursday,0,0,0,0
7/1/2021 1:00,,Thursday,0,0,0,0
7/1/2021 2:00,,Thursday,0,0,0,0
7/1/2021 3:00,,Thursday,0,0,0,0
7/1/2021 4:00,,Thursday,0,0,0,0
7/1/2021 5:00,,Thursday,0,0,0,0
7/1/2021 6:00,,Thursday,0,0,0,0
7/1/2021 7:00,,Thursday,0,0,0,0
7/1/2021 8:00,,Thursday,0,0,0,0
7/1/2021 9:00,,Thursday,0,0,0,0
7/1/2021 10:00,,Thursday,0,0,0,0
7/1/2021 11:00,,Thursday,204,94,110,2441.348847
7/1/2021 12:00,,Thursday,250,212,38,2015.435532
7/1/2021 13:00,,Thursday,152,59,93,1048.108913
7/1/2021 14:00,,Thursday,173,69,104,2480.979026
7/1/2021 15:00,,Thursday,56,33,23,589.255947
7/1/2021 16:00,,Thursday,62,39,23,862.2808179
7/1/2021 17:00,,Thursday,196,76,120,4374.209875
7/1/2021 18:00,,Thursday,209,182,27,5123.095506
7/1/2021 19:00,,Thursday,214,203,11,1654.915856
7/1/2021 20:00,,Thursday,193,164,29,2460.685371
7/1/2021 21:00,,Thursday,41,27,14,978.2908271
7/1/2021 22:00,,Thursday,76,9,67,2006.911397
7/1/2021 23:00,,Thursday,0,0,0,0
8/1/2021 0:00,,Friday,0,0,0,0
8/1/2021 1:00,,Friday,0,0,0,0
8/1/2021 2:00,,Friday,0,0,0,0
8/1/2021 3:00,,Friday,0,0,0,0
8/1/2021 4:00,,Friday,0,0,0,0
8/1/2021 5:00,,Friday,0,0,0,0
8/1/2021 6:00,,Friday,0,0,0,0
8/1/2021 7:00,,Friday,0,0,0,0
8/1/2021 8:00,,Friday,0,0,0,0
8/1/2021 9:00,,Friday,0,0,0,0
8/1/2021 10:00,,Friday,0,0,0,0
8/1/2021 11:00,,Friday,156,117,39,2560.587628
8/1/2021 12:00,,Friday,165,112,53,2209.350431
8/1/2021 13:00,,Friday,156,103,53,4005.489
8/1/2021 14:00,,Friday,144,92,52,3381.957531
8/1/2021 15:00,,Friday,52,10,42,1302.39899
8/1/2021 16:00,,Friday,56,54,2,1459.76876
8/1/2021 17:00,,Friday,187,50,137,3661.790481
8/1/2021 18:00,,Friday,208,202,6,5034.285065
8/1/2021 19:00,,Friday,160,35,125,2158.085851
8/1/2021 20:00,,Friday,212,153,59,4722.896865
8/1/2021 21:00,,Friday,105,36,69,2228.252212
8/1/2021 22:00,,Friday,22,16,6,425.8795442
8/1/2021 23:00,,Friday,0,0,0,0
9/1/2021 0:00,,Saturday,0,0,0,0
9/1/2021 1:00,,Saturday,0,0,0,0
9/1/2021 2:00,,Saturday,0,0,0,0
9/1/2021 3:00,,Saturday,0,0,0,0
9/1/2021 4:00,,Saturday,0,0,0,0
9/1/2021 5:00,,Saturday,0,0,0,0
9/1/2021 6:00,,Saturday,0,0,0,0
9/1/2021 7:00,,Saturday,0,0,0,0
9/1/2021 8:00,,Saturday,0,0,0,0
9/1/2021 9:00,,Saturday,0,0,0,0
9/1/2021 10:00,,Saturday,0,0,0,0
9/1/2021 11:00,,Saturday,160,146,14,3265.919781
9/1/2021 12:00,,Saturday,206,185,21,3436.584153
9/1/2021 13:00,,Saturday,198,2,196,1465.25507
9/1/2021 14:00,,Saturday,174,137,37,3691.572804
9/1/2021 15:00,,Saturday,209,15,194,4169.156044
9/1/2021 16:00,,Saturday,29,23,6,347.7090234
9/1/2021 17:00,,Saturday,221,99,122,4540.101965
9/1/2021 18:00,,Saturday,226,149,77,2225.22419
9/1/2021 19:00,,Saturday,217,89,128,1723.061735
9/1/2021 20:00,,Saturday,181,143,38,1634.000833
9/1/2021 21:00,,Saturday,205,139,66,3384.373346
9/1/2021 22:00,,Saturday,16,11,5,149.5071981
9/1/2021 23:00,,Saturday,0,0,0,0
10/1/2021 0:00,,Sunday,0,0,0,0
10/1/2021 1:00,,Sunday,0,0,0,0
10/1/2021 2:00,,Sunday,0,0,0,0
10/1/2021 3:00,,Sunday,0,0,0,0
10/1/2021 4:00,,Sunday,0,0,0,0
10/1/2021 5:00,,Sunday,0,0,0,0
10/1/2021 6:00,,Sunday,0,0,0,0
10/1/2021 7:00,,Sunday,0,0,0,0
10/1/2021 8:00,,Sunday,0,0,0,0
10/1/2021 9:00,,Sunday,0,0,0,0
10/1/2021 10:00,,Sunday,0,0,0,0
10/1/2021 11:00,,Sunday,168,91,77,4461.090538
10/1/2021 12:00,,Sunday,213,160,53,3064.115522
10/1/2021 13:00,,Sunday,148,30,118,2652.936094
10/1/2021 14:00,,Sunday,210,29,181,3444.738704
10/1/2021 15:00,,Sunday,191,78,113,3436.178366
10/1/2021 16:00,,Sunday,42,37,5,438.253317
10/1/2021 17:00,,Sunday,196,92,104,4959.633108
10/1/2021 18:00,,Sunday,148,73,75,1250.483976
10/1/2021 19:00,,Sunday,218,118,100,5209.711119
10/1/2021 20:00,,Sunday,184,132,52,4336.875829
10/1/2021 21:00,,Sunday,150,74,76,2529.758749
10/1/2021 22:00,,Sunday,41,30,11,1054.182637
10/1/2021 23:00,,Sunday,0,0,0,0
11/1/2021 0:00,,Monday,0,0,0,0
11/1/2021 1:00,,Monday,0,0,0,0
11/1/2021 2:00,,Monday,0,0,0,0
11/1/2021 3:00,,Monday,0,0,0,0
11/1/2021 4:00,,Monday,0,0,0,0
11/1/2021 5:00,,Monday,0,0,0,0
11/1/2021 6:00,,Monday,0,0,0,0
11/1/2021 7:00,,Monday,0,0,0,0
11/1/2021 8:00,,Monday,0,0,0,0
11/1/2021 9:00,,Monday,0,0,0,0
11/1/2021 10:00,,Monday,0,0,0,0
11/1/2021 11:00,,Monday,173,28,145,1389.488809
11/1/2021 12:00,,Monday,208,173,35,3340.918045
11/1/2021 13:00,,Monday,216,125,91,2664.011707
11/1/2021 14:00,,Monday,189,53,136,2177.774698
11/1/2021 15:00,,Monday,81,36,45,1882.014772
11/1/2021 16:00,,Monday,39,23,16,717.0615707
11/1/2021 17:00,,Monday,221,57,164,1588.938213
11/1/2021 18:00,,Monday,167,72,95,2030.161757
11/1/2021 19:00,,Monday,154,102,52,2152.618599
