Timestamp,Events_or_Holidays,Day_of_Week,Total_Customers,Reservation_Number,Walkin_Number,Revenue
2022-01-01 11:00:00,New Year 2022,Saturday,243,2,241,3366.1790001781487
2022-01-01 12:00:00,New Year 2022,Saturday,234,119,115,2550.068128259206
2022-01-01 13:00:00,New Year 2022,Saturday,156,156,0,3909.7621090695343
2022-01-01 14:00:00,New Year 2022,Saturday,149,92,57,1982.8257913665227
2022-01-01 15:00:00,New Year 2022,Saturday,187,73,114,4887.666125148072
2022-01-01 16:00:00,New Year 2022,Saturday,145,19,126,3306.4614812016475
2022-01-01 17:00:00,New Year 2022,Saturday,228,71,157,2115.933093353156
2022-01-01 18:00:00,New Year 2022,Saturday,149,83,66,1324.7128452468298
2022-01-01 19:00:00,New Year 2022,Saturday,131,56,75,2703.823830206859
2022-01-01 20:00:00,New Year 2022,Saturday,209,146,63,4169.687248788545
2022-01-01 21:00:00,New Year 2022,Saturday,211,205,6,1472.4558561571512
2022-01-01 22:00:00,New Year 2022,Saturday,166,75,91,4034.457580165987
2022-01-02 11:00:00,,Sunday,218,57,161,3861.7812173063608
2022-01-02 12:00:00,,Sunday,215,155,60,4124.852584353478
2022-01-02 13:00:00,,Sunday,147,74,73,1128.8570057372897
2022-01-02 14:00:00,,Sunday,244,32,212,2667.7172915308347
2022-01-02 15:00:00,,Sunday,190,57,133,3461.9856200492522
2022-01-02 16:00:00,,Sunday,173,78,95,4592.953536926505
2022-01-02 17:00:00,,Sunday,250,118,132,3584.578660534605
2022-01-02 18:00:00,,Sunday,127,25,102,1809.9970668662231
2022-01-02 19:00:00,,Sunday,161,159,2,2652.7893716545864
2022-01-02 20:00:00,,Sunday,144,52,92,1598.4718201176015
2022-01-02 21:00:00,,Sunday,180,16,164,4183.074701855624
2022-01-02 22:00:00,,Sunday,165,7,158,1269.5186449766397
2022-01-03 11:00:00,,Monday,214,68,146,1988.2093853219967
2022-01-03 12:00:00,,Monday,225,36,189,3046.7783054134065
2022-01-03 13:00:00,,Monday,212,76,136,2135.627434588118
2022-01-03 14:00:00,,Monday,140,84,56,3095.049885529485
2022-01-03 15:00:00,,Monday,83,13,70,993.6290848819845
2022-01-03 16:00:00,,Monday,16,9,7,143.50734957151548
2022-01-03 17:00:00,,Monday,186,56,130,2785.0262120592724
2022-01-03 18:00:00,,Monday,240,127,113,5257.962138568219
2022-01-03 19:00:00,,Monday,228,144,84,5508.444241062037
2022-01-03 20:00:00,,Monday,175,172,3,1276.2988470761015
2022-01-03 21:00:00,,Monday,159,0,159,3431.7724904201214
2022-01-03 22:00:00,,Monday,230,60,170,2420.089173728706
2022-01-04 11:00:00,,Tuesday,241,17,224,2357.420303704016
2022-01-04 12:00:00,,Tuesday,192,23,169,4344.910400451059
2022-01-04 13:00:00,,Tuesday,182,169,13,3896.741229676256
2022-01-04 14:00:00,,Tuesday,206,37,169,2637.3458628037006
2022-01-04 15:00:00,,Tuesday,24,18,6,218.12912118744867
2022-01-04 16:00:00,,Tuesday,126,38,88,2051.0752327194323
2022-01-04 17:00:00,,Tuesday,175,135,40,1925.18589493848
2022-01-04 18:00:00,,Tuesday,141,23,118,2572.443483086111
2022-01-04 19:00:00,,Tuesday,232,51,181,5777.866194927369
2022-01-04 20:00:00,,Tuesday,230,48,182,1975.743501028
2022-01-04 21:00:00,,Tuesday,190,177,13,4452.431583787007
2022-01-04 22:00:00,,Tuesday,197,175,22,2710.8891437621883
2022-01-05 11:00:00,,Wednesday,175,84,91,2635.431835866796
2022-01-05 12:00:00,,Wednesday,127,42,85,3192.431055802871
2022-01-05 13:00:00,,Wednesday,130,35,95,1282.3973178800488
2022-01-05 14:00:00,,Wednesday,249,139,110,5424.964257203768
2022-01-05 15:00:00,,Wednesday,197,55,142,3659.0517837109005
2022-01-05 16:00:00,,Wednesday,207,135,72,4741.743155192665
2022-01-05 17:00:00,,Wednesday,233,135,98,4489.0519214105525
2022-01-05 18:00:00,,Wednesday,233,12,221,3585.1335464291456
2022-01-05 19:00:00,,Wednesday,240,211,29,3180.4527724032337
2022-01-05 20:00:00,,Wednesday,178,27,151,2952.424273273875
2022-01-05 21:00:00,,Wednesday,160,158,2,1936.2288279857712
2022-01-05 22:00:00,,Wednesday,212,61,151,2906.721884325659
2022-01-06 11:00:00,,Thursday,189,30,159,2743.5074695854973
2022-01-06 12:00:00,,Thursday,129,1,128,1278.094442824165
2022-01-06 13:00:00,,Thursday,136,23,113,1204.1699734180038
2022-01-06 14:00:00,,Thursday,178,151,27,3559.8720452057637
2022-01-06 15:00:00,,Thursday,179,102,77,2038.4744339215251
2022-01-06 16:00:00,,Thursday,206,41,165,2755.5497151433024
2022-01-06 17:00:00,,Thursday,201,183,18,4636.950413085586
2022-01-06 18:00:00,,Thursday,196,57,139,2258.9287133342445
2022-01-06 19:00:00,,Thursday,240,209,31,5925.949475018672
2022-01-06 20:00:00,,Thursday,165,94,71,3143.254526797569
2022-01-06 21:00:00,,Thursday,129,62,67,1487.6076181039898
2022-01-06 22:00:00,,Thursday,235,183,52,3700.428039889455
2022-01-07 11:00:00,,Friday,128,26,102,2408.985869526631
2022-01-07 12:00:00,,Friday,241,84,157,5520.395012144314
2022-01-07 13:00:00,,Friday,249,162,87,2391.7725805826026
2022-01-07 14:00:00,,Friday,219,173,46,2177.0946160902827
2022-01-07 15:00:00,,Friday,160,104,56,4074.2419726984444
2022-01-07 16:00:00,,Friday,68,35,33,682.837466386272
2022-01-07 17:00:00,,Friday,146,32,114,2969.6587423762458
2022-01-07 18:00:00,,Friday,132,95,37,2251.538231416329
2022-01-07 19:00:00,,Friday,218,26,192,5223.880690309723
2022-01-07 20:00:00,,Friday,127,55,72,1372.8880666643643
2022-01-07 21:00:00,,Friday,211,42,169,2955.968445964226
2022-01-07 22:00:00,,Friday,149,46,103,2088.2728334847593
2022-01-08 11:00:00,,Saturday,167,164,3,1594.4279328651576
2022-01-08 12:00:00,,Saturday,204,71,133,1468.4692943111047
2022-01-08 13:00:00,,Saturday,143,67,76,2149.2404165108082
2022-01-08 14:00:00,,Saturday,197,118,79,2849.2845890616554
2022-01-08 15:00:00,,Saturday,242,215,27,3269.053649962906
2022-01-08 16:00:00,,Saturday,164,138,26,1316.746502117977
2022-01-08 17:00:00,,Saturday,198,158,40,3785.580103439994
2022-01-08 18:00:00,,Saturday,158,87,71,2216.6349455761606
2022-01-08 19:00:00,,Saturday,239,222,17,6076.822783833264
2022-01-08 20:00:00,,Saturday,159,86,73,1752.0861294400254
2022-01-08 21:00:00,,Saturday,134,63,71,2130.8747320604216
2022-01-08 22:00:00,,Saturday,244,59,185,3681.658219562783
2022-01-09 11:00:00,,Sunday,134,20,114,1697.4108577243135
2022-01-09 12:00:00,,Sunday,128,74,54,2354.116445287239
2022-01-09 13:00:00,,Sunday,241,169,72,3072.204361200018
2022-01-09 14:00:00,,Sunday,244,198,46,2111.490851165666
2022-01-09 15:00:00,,Sunday,209,33,176,2351.1338017379167
2022-01-09 16:00:00,,Sunday,200,74,126,5211.103723801974
2022-01-09 17:00:00,,Sunday,155,141,14,1989.900510108249
2022-01-09 18:00:00,,Sunday,168,144,24,3286.0810067636735
2022-01-09 19:00:00,,Sunday,225,166,59,5177.987630371677
2022-01-09 20:00:00,,Sunday,240,125,115,4932.482424614491
2022-01-09 21:00:00,,Sunday,216,30,186,2166.877698250668
2022-01-09 22:00:00,,Sunday,158,65,93,3378.3881241883296
2022-01-10 11:00:00,,Monday,189,55,134,2099.448530098801
2022-01-10 12:00:00,,Monday,200,0,200,4632.317309284663
2022-01-10 13:00:00,,Monday,207,104,103,5312.060048275129
2022-01-10 14:00:00,,Monday,175,16,159,3728.484642210684
2022-01-10 15:00:00,,Monday,203,32,171,5149.403952947968
2022-01-10 16:00:00,,Monday,213,53,160,1696.1911258234475
2022-01-10 17:00:00,,Monday,208,110,98,1758.4537224661217
2022-01-10 18:00:00,,Monday,127,88,39,2744.6476990776196
2022-01-10 19:00:00,,Monday,174,129,45,3129.2135130214906
2022-01-10 20:00:00,,Monday,206,80,126,5135.273713441317
2022-01-10 21:00:00,,Monday,195,90,105,2803.611125424451
2022-01-10 22:00:00,,Monday,179,79,100,4290.885878898335
2022-01-11 11:00:00,,Tuesday,247,40,207,2287.584267807667
2022-01-11 12:00:00,,Tuesday,189,180,9,4781.35904594007
2022-01-11 13:00:00,,Tuesday,244,90,154,5994.440646853302
2022-01-11 14:00:00,,Tuesday,193,87,106,3735.090048507276
2022-01-11 15:00:00,,Tuesday,55,30,25,713.723484121549
2022-01-11 16:00:00,,Tuesday,176,25,151,4548.270693511246
2022-01-11 17:00:00,,Tuesday,131,81,50,3187.791678704904
2022-01-11 18:00:00,,Tuesday,129,67,62,1800.1601782335094
2022-01-11 19:00:00,,Tuesday,208,116,92,2357.0420308706807
2022-01-11 20:00:00,,Tuesday,139,136,3,2671.3134679245786
2022-01-11 21:00:00,,Tuesday,234,98,136,2891.0885041023603
2022-01-11 22:00:00,,Tuesday,239,72,167,6232.764311187674
2022-01-12 11:00:00,,Wednesday,129,83,46,1893.433446201457
2022-01-12 12:00:00,,Wednesday,184,96,88,3326.0749183214757
2022-01-12 13:00:00,,Wednesday,231,44,187,3542.746076870986
2022-01-12 14:00:00,,Wednesday,137,22,115,3433.7201045241627
2022-01-12 15:00:00,,Wednesday,36,8,28,312.80086472946755
2022-01-12 16:00:00,,Wednesday,157,157,0,1390.3257135542049
2022-01-12 17:00:00,,Wednesday,213,121,92,3162.2389695993934
2022-01-12 18:00:00,,Wednesday,139,54,85,2357.496461550748
2022-01-12 19:00:00,,Wednesday,149,145,4,1528.9403390031541
2022-01-12 20:00:00,,Wednesday,243,17,226,4861.0518594661935
2022-01-12 21:00:00,,Wednesday,151,131,20,1672.7944825098907
2022-01-12 22:00:00,,Wednesday,192,125,67,2172.6850303356614
2022-01-13 11:00:00,,Thursday,216,181,35,4091.355870793571
